Code,Name,Category,Price_CLP,Availability,Delivery,Inventario,Supplier,Brand
PRI29099,PROYECTOR EPSON PORTATIL CO-W01 3000 LUMENES,PROYECTOR EPSON PORTATIL,567671.1111111111,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRIW2122X,TONER HP 212X LASERJET AMARILLO ORIGINAL (W2122X),TONER HP 212X,568525.5555555555,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI499M8A,IMPRESORA HP MULTIFUNCIONAL COLOR LASERJET 3303FDW (499M8A),IMPRESORA HP MULTIFUNCIONAL,572562.2222222222,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
71281,PIZARRA ATRIL BISILQUE CON RUEDAS 1.2X1.5 M,PIZARRA CON RUEDAS ROTATIVA,574537.5,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,BISILQUE
PRI71281,PIZARRA ATRIL BISILQUE CON RUEDAS 1.2X1.5 M,PIZARRA ATRIL BISILQUE,574537.7777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,BISILQUE
PRI24559,GUILLOTINA RODILLO GBC 1500,GUILLOTINA GBC,582845.5555555555,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,GBC
PRI24573,GUILLOTINA SEMI-INDUSTRIAL IBICO 42 CM 360 HOJAS,GUILLOTINA SEMI-INDUSTRIAL,582845.5555555555,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,IBICO
PRI35314,TRITURADORA DE PAPEL DAHLE 35314 CHALLA - 300 HOJAS,TRITURADORA DE,662144.4444444444,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,DAHLE
PRI34158,TRITURADORA DE PAPEL DAHLE 104 16 HOJAS TIRA 40 L,TRITURADORA PAPEL,675923.3333333334,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,DAHLE
PRI5HH67A,IMPRESORA HP LASERJET PRO COLOR MFP-4303FDW,IMPRESORA HP LASERJET,594775.5555555555,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI27936,SCANNER EPSON WORKFORCE ES-400 II,SCANNER EPSON WORKFORCE,616514.4444444444,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI29954,VIDEOPROYECTOR PORTATIL EPSON POWERLITE E20 LCD XGA 1024X768 PX 3400 LM BLANCO,VIDEOPROYECTOR EPSON,616897.7777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI26753,IMPRESORA BROTHER MULTIFUNCIONAL DCP-L3560CDW LASER,IMPRESORA BROTHER MULTIFUNCIONAL,626165.5555555555,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,BROTHER
PRI28291,IMPRESORA BROTHER MULTIFUNCIONAL LASER DCP-L5510DN,IMPRESORA BROTHER MULTIFUNCIONAL,627236.6666666666,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,BROTHER
PRI26751,IMPRESORA LASER BROTHER HL-L6415DW,IMPRESORA BROTHER,631814.4444444444,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,BROTHER
PRI27394,SCANNER BROTHER ADS-4300N,SCANNER ADS,662144.4444444444,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,BROTHER
PRI80833,TRITURADORA DE PAPEL REXEL OPTIMUM AUTOFEED 300X 300 HOJAS,TRITURADORA DE,712738.8888888889,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,REXEL
PRI26833,SCANNER EPSON WORKFORCE ES-580W,SCANNER WORKFORCE,677438.8888888889,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI29396,IMPRESORA EPSON MULTIFUNCIONAL WF-C5891,IMPRESORA MULTIFUNCIONAL,679410.0,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI41352,TONER HP 650A MAGENTA ORIGINAL (CE273A),TONER HP 650A,686517.7777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
